1,Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 1,BAS1111,2
2,Những nguyên lý cơ bản của chủ nghĩa Mác-Lênin 2,BAS1112,3
3,Tư tưởng Hồ Chí Minh ,BAS1122,2
4,Đường lối cách mạng Đảng cộng sản VN,BAS1102,3
5,Tiếng Anh A11,BAS1141,3
6,Tiếng Anh A21,BAS1143 ,3
7,Tiếng Anh A12,BAS1142,4
8,Tiếng Anh A22,BAS1144,4
9,Tiếng Anh B11,BAS1145,4
10,Tiếng Anh A12,BAS1146,4
11,Tin học cơ sở 1 ,INT 1154,2
12,Phương pháp luận nghiên cứu khoa học,SKD1108,2
13,Giáo dục thể chất 1,BAS1106,2
14,Giáo dục thể chất 2,BAS1107,2
15,Giáo dục quốc phòng,BAS1105,7.5
16,Kỹ năng thuyết trình,SKD1101,1
17,Kỹ năng làm việc nhóm,SKD1102,1
18,Kỹ năng tạo lập văn bản,SKD1103,1
19,Kỹ năng lập kế hoạch và tổ chức công việc ,SKD1104,1
20,Kỹ năng giao tiếp và ứng xử ,SKD1105,1
21,Kỹ năng giải quyết vấn đề ,SKD1106,1
22,Kỹ năng tư duy sáng tạo và mạo hiểm ,SKD1107,1
23,Lịch sử văn minh thế giới ,MUL12117,2
24,Pháp luật đại cương,MUL12118,2
25,Marketing căn bản,MUL12119,3
26,Cơ sở văn hóa Việt Nam,MUL12120,5
27,Phương pháp nghiên cứu truyền thông,MUL12121,2
28,Nhập môn đa phương tiện,MUL12122,2
29,Nhập môn truyền thông,MUL12123,2
30,Lý thuyết truyền thông,MUL12124,3
31,Truyền thông xã hội ,MUL12125,4
32,Truyền thông và dư luận xã hội ,MUL12126,2
33,Pháp luật và đạo đức truyền thông,MUL12127,3
34,Các loại hình báo chí hiện đại,MUL12128,5
35,Nhập môn PR,MUL12129,2
36,Nhập môn quảng cáo ,MUL12130,2
37,Thiết kế đồ họa cơ bản,MUL12131,4
38,Kỹ thuật nhiếp ảnh,MUL12132,2
39,Quay phim,MUL12133,3
40,Viết đa phương tiện,MUL12134,5
41,Biên tập văn bản báo chí,MUL12135,2
42,Nghệ thuật kể chuyện đa phương tiện,MUL12136,2
43,Phỏng vấn: Lý thuyết và thực hành ,MUL12137,2
44,Diễn thuyết trước công chúng,MUL12138,1
45,Báo chí điều tra,MUL12139,3
46,Rủi ro và xử lý khủng hoảng truyền thông,MUL12140,4
47,Kịch bản đa phương tiện ,MUL12141,1
48,Thiết kế ấn phẩm báo chí ,MUL12142,2
49,Đồ án thiết kế sản phẩm đa phương tiện ,MUL12143,2
50,Thiết kế tương tác đa phương tiện ,MUL12144,4
51,Ngôn ngữ truyền thông ,MUL12145,2
52,Truyền thông quốc tế ,MUL12146,3
53,Kinh tế truyền thông ,MUL12147,1
54,Báo chí đa phương tiện ,MUL12148,2
55,Báo chí dữ liệu,MUL12149,3
56,Lý thuyết PR,MUL12150,2
57,PR: Chiến lược và thực hành,MUL12151,4
58,Quảng cáo đa phương tiện,MUL12152,1
59,Quảng cáo: Chiến lược và thực hành ,MUL12153,1
60,Quản lý dự án truyền thông ,MUL12154,2
61,Ứng dụng đồ họa đa phương tiện ,MUL12155,1
62,Ứng dụng thiết kế web,MUL12156,1
63,Ứng dụng sản xuất audio và video ,MUL12157,3
